Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.046815,0.876484,0.504998,0.313015,0.144406,0.730488,0.465311,0.814056,0.252792,0.323781,0.811332,0.804546,0.793392,0.190231,0.776413,0.480763,0.853322,1
0.058536,0.936606,0.285299,0.187451,0.074018,0.851075,0.372072,0.809959,0.264488,0.096983,0.793075,0.735434,0.741991,0.257165,0.659464,0.578522,0.744794,1
0.066527,0.931617,0.28741,0.191328,0.077834,0.851234,0.373017,0.812183,0.269179,0.099724,0.795352,0.734656,0.739417,0.260563,0.656327,0.575888,0.746367,1
0.060718,0.935347,0.287325,0.19643,0.083652,0.856088,0.373527,0.821756,0.2676,0.100259,0.804671,0.727035,0.736362,0.25753,0.658482,0.585329,0.735666,1
0.05507,0.93609,0.290141,0.198752,0.08409,0.860315,0.371174,0.823776,0.277111,0.101531,0.806264,0.727117,0.73511,0.261849,0.657618,0.581606,0.738267,1
0.060505,0.934772,0.289518,0.20481,0.093683,0.858744,0.375974,0.831883,0.274527,0.103053,0.814818,0.721616,0.726938,0.257373,0.663622,0.57877,0.740079,1
0.074554,0.933205,0.291266,0.207751,0.091826,0.862199,0.373899,0.833039,0.283596,0.104491,0.815609,0.719589,0.727124,0.264303,0.658792,0.586473,0.731851,1
0.05426,0.965378,0.25105,0.122363,0.046398,0.858328,0.349872,0.775278,0.223847,0.058421,0.756425,0.747275,0.761993,0.237539,0.677461,0.608408,0.718936,1
0.066893,0.960648,0.257054,0.130628,0.039654,0.862877,0.34896,0.780802,0.229612,0.063402,0.761598,0.741319,0.759257,0.242176,0.676772,0.612148,0.714908,1
0.050079,0.965607,0.250796,0.127606,0.03432,0.85529,0.355861,0.782885,0.213338,0.060128,0.764632,0.745731,0.761408,0.235003,0.683523,0.612579,0.71616,1
0.055276,0.958661,0.252971,0.132714,0.043237,0.855332,0.357021,0.785194,0.236255,0.062562,0.767011,0.742498,0.755647,0.246831,0.669699,0.605741,0.720537,1
0.068075,0.847956,0.499767,0.403077,0.200636,0.724421,0.505323,0.90394,0.355878,0.334843,0.904837,0.73632,0.71228,0.267578,0.706591,0.470576,0.838634,1
0.060817,0.959901,0.251242,0.134914,0.048663,0.850352,0.362421,0.788518,0.230279,0.063076,0.771022,0.737901,0.752342,0.245501,0.669682,0.609087,0.714373,1
0.048998,0.955917,0.252117,0.135635,0.035277,0.848626,0.363132,0.786984,0.240345,0.064039,0.769639,0.74332,0.758328,0.250973,0.66566,0.609832,0.717575,1
0.039533,0.958494,0.247974,0.134372,0.056073,0.839586,0.370235,0.78721,0.230273,0.062874,0.770924,0.737882,0.752359,0.239062,0.676999,0.614245,0.710205,1
0.065125,0.956887,0.249091,0.136582,0.035151,0.839881,0.370137,0.787415,0.221399,0.06396,0.771101,0.745686,0.75721,0.240393,0.671599,0.606308,0.72325,1
0.049377,0.958039,0.245204,0.135372,0.053055,0.831387,0.376949,0.78776,0.231284,0.062779,0.772445,0.736485,0.748569,0.243773,0.669351,0.60411,0.720473,1
0.060642,0.924533,0.283992,0.223607,0.094079,0.82066,0.41181,0.847283,0.286013,0.11086,0.835147,0.709073,0.714676,0.267316,0.647304,0.589257,0.727579,1
0.053577,0.928299,0.278494,0.218983,0.084292,0.816218,0.414997,0.84704,0.271817,0.107701,0.835413,0.712547,0.72127,0.26003,0.649813,0.592291,0.72611,1
0.062846,0.925823,0.275333,0.213802,0.097404,0.809044,0.417503,0.839923,0.294029,0.105524,0.8289,0.708817,0.718342,0.271412,0.643009,0.592427,0.722702,1
0.050728,0.928058,0.270195,0.21044,0.114654,0.803817,0.42171,0.84052,0.305605,0.102919,0.830124,0.705635,0.713034,0.274223,0.640763,0.583625,0.725716,1
0.048417,0.930137,0.271353,0.20874,0.096027,0.802346,0.422185,0.839032,0.287009,0.103221,0.828759,0.711677,0.717321,0.271603,0.635902,0.577442,0.732933,1
0.069413,0.823451,0.527562,0.466435,0.235091,0.716601,0.52254,0.935473,0.377725,0.368461,0.938303,0.714465,0.689684,0.281798,0.691961,0.473412,0.831951,1
0.049319,0.902674,0.301025,0.288013,0.097335,0.779769,0.461298,0.893239,0.289306,0.145459,0.887351,0.701143,0.703692,0.272489,0.633837,0.577501,0.736125,1
0.053262,0.901014,0.297697,0.281247,0.095071,0.777195,0.46111,0.887658,0.296401,0.142416,0.881888,0.700639,0.701575,0.28169,0.619926,0.571322,0.740173,1
0.059221,0.903926,0.291877,0.278789,0.102468,0.769571,0.466906,0.888143,0.303072,0.139735,0.883276,0.696285,0.696382,0.283164,0.619173,0.565813,0.741954,1
0.060725,0.903573,0.288536,0.272451,0.092436,0.767318,0.466201,0.881894,0.296843,0.136569,0.877087,0.701729,0.703896,0.281157,0.616196,0.571983,0.739466,1
0.039147,0.907196,0.28505,0.272928,0.116146,0.764719,0.469682,0.886084,0.322722,0.135421,0.881714,0.692269,0.69398,0.290487,0.614599,0.560328,0.74373,1
0.045197,0.90452,0.283151,0.26986,0.120601,0.758832,0.472496,0.881847,0.342876,0.134322,0.878025,0.6926,0.68822,0.305573,0.602566,0.543778,0.754461,1
0.044687,0.909177,0.28017,0.268273,0.1223,0.75349,0.476554,0.882186,0.327438,0.133007,0.878996,0.691108,0.69096,0.29498,0.61312,0.554257,0.747567,1
0.047267,0.906541,0.280161,0.268747,0.1206,0.754503,0.475415,0.881097,0.34512,0.133463,0.877755,0.689146,0.685217,0.307404,0.602921,0.539411,0.757586,1
0.042182,0.908302,0.273824,0.263102,0.122077,0.740908,0.483545,0.875836,0.332086,0.130166,0.873904,0.693658,0.693377,0.294999,0.611764,0.548007,0.75474,1
0.067783,0.907199,0.276473,0.265067,0.102799,0.74388,0.481262,0.875551,0.325125,0.131874,0.873264,0.699919,0.700044,0.297461,0.606358,0.54933,0.754199,1
0.059182,0.829059,0.518932,0.462094,0.241316,0.714357,0.526088,0.940999,0.3758,0.361048,0.94427,0.710833,0.684708,0.28208,0.690474,0.473904,0.828664,1
0.051909,0.906916,0.276397,0.266955,0.129365,0.742303,0.483425,0.878167,0.325975,0.133494,0.876149,0.691138,0.691882,0.292015,0.611704,0.5517,0.750857,1
0.054154,0.883503,0.31449,0.341775,0.154277,0.735043,0.505277,0.922279,0.35149,0.177551,0.922536,0.675429,0.675993,0.305623,0.604885,0.543683,0.753089,1
0.042855,0.887456,0.306934,0.338043,0.153728,0.722689,0.514528,0.923033,0.338319,0.17393,0.924751,0.675818,0.676533,0.29616,0.610278,0.544139,0.755301,1
0.04889,0.882809,0.307409,0.337955,0.159703,0.7213,0.514512,0.919962,0.359693,0.174122,0.921742,0.674605,0.671957,0.309572,0.601695,0.534396,0.761447,1
0.050713,0.88396,0.309711,0.342306,0.148677,0.719132,0.517916,0.925,0.35365,0.176962,0.927196,0.67712,0.677279,0.304891,0.60267,0.54649,0.752574,1
0.051699,0.882483,0.311329,0.342761,0.147369,0.718465,0.517822,0.923134,0.359758,0.177462,0.925347,0.676186,0.672668,0.310994,0.599558,0.534521,0.762494,1
0.032856,0.882076,0.309849,0.34286,0.146724,0.713697,0.521535,0.923808,0.362065,0.177465,0.926598,0.676555,0.676342,0.306503,0.605817,0.545576,0.757175,1
0.042537,0.881335,0.315791,0.348667,0.153022,0.718003,0.519625,0.927062,0.372068,0.181284,0.929457,0.672551,0.67272,0.314864,0.600237,0.545495,0.754976,1
0.039679,0.883736,0.313982,0.346271,0.16843,0.713259,0.522507,0.925374,0.369472,0.179801,0.928265,0.669614,0.672059,0.310421,0.607187,0.550904,0.74929,1
0.057621,0.878131,0.318976,0.34896,0.156586,0.717049,0.519215,0.923563,0.376792,0.18251,0.925954,0.676447,0.675853,0.317946,0.601595,0.551108,0.751676,1
0.06496,0.828053,0.514364,0.458526,0.234481,0.716964,0.524614,0.941818,0.408263,0.355836,0.944812,0.708963,0.677667,0.307066,0.672935,0.466849,0.831321,1
0.054775,0.8807,0.320692,0.350959,0.161793,0.718003,0.519392,0.926059,0.369471,0.183338,0.928421,0.671143,0.673037,0.312405,0.607101,0.55448,0.748599,1
