Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.147689,0.606721,0.528272,0.291781,0.077015,0.474333,0.304202,0.10574,0.168532,0.680391,0.109747,0.945814,0.924541,0.215174,0.556121,0.360088,0.945062,2
0.14823,0.528201,0.753389,0.559411,0.204377,0.508757,0.283242,0.136813,0.258945,0.87592,0.137791,0.877382,0.792893,0.317219,0.418582,0.158404,0.984439,2
0.055084,0.820555,0.581786,0.417924,0.17205,0.70741,0.473475,0.811614,0.256679,0.412304,0.810797,0.798753,0.796163,0.18191,0.780917,0.501294,0.849511,1
0.14968,0.616964,0.513348,0.237485,0.053725,0.473188,0.267933,0.06132,0.13038,0.664157,0.064054,0.960797,0.953829,0.187044,0.571901,0.398777,0.935547,2
0.153493,0.526419,0.710897,0.545129,0.241195,0.482247,0.289932,0.103069,0.284644,0.839645,0.106068,0.817166,0.775261,0.286133,0.491174,0.282924,0.94762,2
0.051771,0.845938,0.476411,0.286311,0.142655,0.591468,0.525095,0.705754,0.117389,0.373125,0.7151,0.867608,0.882867,0.089014,0.85451,0.528248,0.867054,1
0.024738,0.933492,0.271412,0.286267,0.241341,0.830506,0.437098,0.947591,0.479004,0.112259,0.93673,0.611326,0.599862,0.399262,0.552588,0.574844,0.692646,1
0.035262,0.939899,0.276922,0.225159,0.137186,0.864209,0.382259,0.875747,0.399551,0.094668,0.858684,0.673277,0.668007,0.341004,0.589082,0.593404,0.715542,1
0.18742,0.637931,0.627845,0.653687,0.64401,0.509632,0.569947,0.640414,0.448882,0.563396,0.65723,0.54764,0.627194,0.32672,0.675178,0.65128,0.642552,4
0.145123,0.765371,0.440684,0.145598,0.094458,0.432875,0.453964,0.244313,0.011703,0.39959,0.257538,0.863957,0.979516,0.029755,0.841088,0.749921,0.708703,4
0.855783,0.10085,0.289873,0.769864,0.585207,0.092895,0.907953,0.483633,0.799767,0.514118,0.544058,0.137206,0.152058,0.741691,0.202222,0.704436,0.223448,5
